year,grade,exam_family,month,external_post_id,source_content_key,source_subject_key,raw_subject_label,canonical_code,mapping_status,source_resource_key,resource_type,source_label,post_url,source_url,file_url,link_kind,link_status,published_at,source_updated_at,feed_updated_at,is_active
2024,3,national_mock,5,1617,main,화학1,화학1,chemistry_1,provisional,XVZde/btsHl2VkZx2,answer_explanation,"2024_5월_과_화학1 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/XVZde/btsHl2VkZx2/x/2024_5월_과_화학1 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,화학2,화학2,chemistry_2,provisional,cVvWQ9/btsHlvKsE6i,question,2024_5월_과_화학2 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/cVvWQ9/btsHlvKsE6i/x/2024_5월_과_화학2 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,화학2,화학2,chemistry_2,provisional,cLZEdH/btsHkiLS6Nf,answer_explanation,"2024_5월_과_화학2 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/cLZEdH/btsHkiLS6Nf/x/2024_5월_과_화학2 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,경제,경제,economics,provisional,csqbb6/btsHjwDBjzr,question,2024_5월_사_경제 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/csqbb6/btsHjwDBjzr/x/2024_5월_사_경제 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,경제,경제,economics,provisional,buxBmi/btsHigathxY,answer_explanation,"2024_5월_사_경제 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/buxBmi/btsHigathxY/x/2024_5월_사_경제 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,동아시아사,동아시아사,east_asian_history,provisional,MOl9h/btsHitnjbnQ,question,2024_5월_사_동아시아사 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/MOl9h/btsHitnjbnQ/x/2024_5월_사_동아시아사 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,동아시아사,동아시아사,east_asian_history,provisional,dU3NuM/btsHldwxfxJ,answer_explanation,"2024_5월_사_동아시아사 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/dU3NuM/btsHldwxfxJ/x/2024_5월_사_동아시아사 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,사회문화,사회문화,society_culture,provisional,bWbkTg/btsHicFRt9o,question,2024_5월_사_사회문화 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/bWbkTg/btsHicFRt9o/x/2024_5월_사_사회문화 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,사회문화,사회문화,society_culture,provisional,btrsHb/btsHlty4ukW,answer_explanation,"2024_5월_사_사회문화 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/btrsHb/btsHlty4ukW/x/2024_5월_사_사회문화 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,생활과윤리,생활과윤리,life_ethics,provisional,bRe3RW/btsHkYlPps5,question,2024_5월_사_생활과윤리 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/bRe3RW/btsHkYlPps5/x/2024_5월_사_생활과윤리 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,생활과윤리,생활과윤리,life_ethics,provisional,cl70oG/btsHkf2HhEG,answer_explanation,"2024_5월_사_생활과윤리 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/cl70oG/btsHkf2HhEG/x/2024_5월_사_생활과윤리 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,세계사,세계사,world_history,provisional,cndXL4/btsHie4OZH4,question,2024_5월_사_세계사 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/cndXL4/btsHie4OZH4/x/2024_5월_사_세계사 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,세계사,세계사,world_history,provisional,cwVPsF/btsHkZSzVMn,answer_explanation,"2024_5월_사_세계사 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/cwVPsF/btsHkZSzVMn/x/2024_5월_사_세계사 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,세계지리,세계지리,world_geography,provisional,ogVlH/btsHlsUuxkb,question,2024_5월_사_세계지리 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/ogVlH/btsHlsUuxkb/x/2024_5월_사_세계지리 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,세계지리,세계지리,world_geography,provisional,CETsP/btsHirpvA3d,answer_explanation,"2024_5월_사_세계지리 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/CETsP/btsHirpvA3d/x/2024_5월_사_세계지리 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,윤리와사상,윤리와사상,ethics_thought,provisional,cJFoqL/btsHkMeSTEZ,question,2024_5월_사_윤리와사상 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/cJFoqL/btsHkMeSTEZ/x/2024_5월_사_윤리와사상 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,윤리와사상,윤리와사상,ethics_thought,provisional,T0XdR/btsHi3IqLHh,answer_explanation,"2024_5월_사_윤리와사상 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/T0XdR/btsHi3IqLHh/x/2024_5월_사_윤리와사상 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
